Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
Malaysia,MYS,4004.557191,3878.771409,4132.667741,4431.239455,4924.585852,5564.173231,6194.671905,7240.681967,8486.599333,7312.008314,9069.041757,10427.75605,10834.65908,10973.65594,11307.06495
Maldives,MDV,2182.997011,3028.343042,3066.882666,3432.247831,3853.333412,3488.493776,4428.522901,5002.862293,5850.203317,6017.583859,6330.794983,6497.550446,6529.978071,7100.915779,7635.484151
Mali,MLI,240.3780565,265.2605844,272.0337397,349.208124,399.3849184,425.9107028,460.0055723,519.3143131,614.3157548,610.0541523,610.7906021,680.8279075,641.7938201,659.5201611,704.50744
Malta,MLT,10377.03732,9967.790407,10849.75028,12844.58799,14064.2296,14834.43237,15705.34022,18356.96828,20895.7805,19636.00628,19694.08316,22347.70842,21176.30998,22776.19469,..
Marshall Islands,MHL,2126.832872,2206.656116,2391.347403,2434.761306,2517.693389,2645.981405,2758.382926,2878.464877,2925.900483,2907.631468,3124.343448,3290.029185,3502.260704,3602.853944,3529.748303
Mauritania,MRT,477.1129881,463.2714185,459.1255459,525.4587743,598.2105479,692.5759654,937.9827017,1008.554705,1180.549514,1045.790408,1207.827457,1390.928622,1282.785101,1306.007652,1274.976949
Mauritius,MUS,3861.038542,3792.187576,3957.512905,4623.351784,5229.873567,5116.039642,5455.06563,6285.78905,7749.318438,7082.2957,7772.100057,8984.629769,9113.640643,9479.86959,10016.64864
Mexico,MEX,6649.716534,6952.289039,7023.787276,6673.166974,7115.121769,7893.968234,8666.335353,9219.817783,9578.5707,7647.684747,8851.350514,9715.112596,9703.371017,10172.72255,10325.64607
"Micronesia, Fed. Sts.",FSM,2170.960626,2239.916954,2257.773665,2293.579614,2247.837673,2352.639409,2393.936412,2435.199848,2501.527682,2669.375054,2838.448547,2998.642197,3147.679202,3044.077373,3057.091025
Moldova,MDA,354.001279,407.7302432,458.6778168,548.2896867,720.9409321,831.2052862,950.6482044,1230.434685,1695.972811,1525.526119,1631.535832,1970.571373,2046.536787,2243.979662,2238.901774
Monaco,MCO,82537.44647,82542.36444,89009.22023,108889.2173,123289.4941,126599.4033,135629.6057,170472.2849,193648.1322,152877.3657,145221.1916,163351.6467,..,..,..
Mongolia,MNG,474.2129566,524.024766,571.5383906,646.1191681,797.9051521,998.8222994,1334.405712,1633.384335,2138.37674,1717.073137,2650.346885,3772.931547,4377.23887,4387.707056,4129.373548
Montenegro,MNE,1627.042893,1909.635435,2106.339013,2789.081582,3380.199535,3674.52653,4383.595097,5957.145693,7325.703474,6698.079439,6682.281158,7318.74469,6586.721279,7186.429787,7378.345289
Morocco,MAR,1265.395038,1275.459235,1352.317069,1650.279191,1867.32994,1931.761064,2107.896017,2510.976204,2905.95268,2883.850677,2857.673414,3066.503158,2931.4002,3156.17515,3190.310444
Mozambique,MOZ,274.6562556,253.6631646,260.0436726,280.8725683,332.882912,365.5968499,382.3779583,418.9129864,499.8870858,461.4252187,417.5012315,524.8914529,564.8124631,605.2344447,585.6226826
Myanmar,MMR,..,..,..,..,..,..,..,..,..,..,..,..,1421.497351,1106.983824,1203.844663
Namibia,NAM,2059.409015,1836.755321,1716.895883,2489.893946,3298.90165,3582.25982,3884.646834,4195.936393,4011.301169,4123.939997,5143.130676,5539.61516,5679.958215,5435.48932,5408.243491
